2026-04-02T16:05:55.282154Z [info     ] Initializing database connection pool [llmmllab] component=db_init
2026-04-02T16:05:55.413107Z [info     ] Database pool created (statement_cache_size=0) [llmmllab] component=db_init
2026-04-02T16:05:55.413183Z [info     ] Database connection recovery manager initialized [llmmllab] component=db_connection_recovery
2026-04-02T16:05:55.413248Z [info     ] Clearing stale connection state on startup... [llmmllab] component=db_init
2026-04-02T16:05:55.417199Z [info     ] ✅ Stale connection state cleared successfully [llmmllab] component=db_init
2026-04-02T16:05:55.417265Z [info     ] UserConfigStorage initialized  [llmmllab] component=userconfig_storage
2026-04-02T16:05:55.442715Z [info     ] ✅ Checkpoint storage initialized using LangGraph's standard tables [llmmllab] component=checkpoint_storage_instance
2026-04-02T16:05:55.442795Z [info     ] Storage components initialized successfully [llmmllab] component=db_init
2026-04-02T16:05:55.442875Z [info     ] === Starting database schema initialization === [llmmllab] component=db_init
2026-04-02T16:05:55.442932Z [info     ] Acquiring database connection from pool [llmmllab] component=db_init
2026-04-02T16:05:55.443008Z [info     ] Database connection acquired successfully [llmmllab] component=db_init
2026-04-02T16:05:55.444047Z [info     ] Database extensions initialized successfully [llmmllab] component=db_init
2026-04-02T16:05:55.444103Z [info     ] Starting to execute all initialization steps... [llmmllab] component=db_init
2026-04-02T16:05:55.444150Z [info     ] Step 1/16: Creating users table [llmmllab] component=db_init
2026-04-02T16:05:55.461831Z [info     ] SQL Loader initialized with 164 queries [llmmllab] component=db_queries
2026-04-02T16:05:55.462687Z [info     ] Successfully executed user.create_users_table [llmmllab] component=db_init
2026-04-02T16:05:55.475262Z [info     ] Successfully executed user.create_user_check_trigger [llmmllab] component=db_init
2026-04-02T16:05:55.483660Z [info     ] Successfully executed user.user_delete_cascade [llmmllab] component=db_init
2026-04-02T16:05:55.483728Z [info     ] ✅ Step 1/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.483794Z [info     ] Step 2/16: Creating API key tables [llmmllab] component=db_init
2026-04-02T16:05:55.485389Z [info     ] Successfully executed api_key.create_api_keys_table [llmmllab] component=db_init
2026-04-02T16:05:55.485437Z [info     ] ✅ Step 2/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.485484Z [info     ] Step 3/16: Creating model tables [llmmllab] component=db_init
2026-04-02T16:05:55.486002Z [info     ] Successfully executed modelprofile.create_model_profiles_table [llmmllab] component=db_init
2026-04-02T16:05:55.486620Z [info     ] Successfully executed modelprofile.create_model_profiles_index [llmmllab] component=db_init
2026-04-02T16:05:55.488054Z [info     ] Successfully executed modelprofile.add_circuit_breaker_column [llmmllab] component=db_init
2026-04-02T16:05:55.489328Z [info     ] Successfully executed modelprofile.add_gpu_config_column [llmmllab] component=db_init
2026-04-02T16:05:55.490653Z [info     ] Successfully executed modelprofile.add_draft_model_column [llmmllab] component=db_init
2026-04-02T16:05:55.490742Z [info     ] ✅ Step 3/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.490832Z [info     ] Step 4/16: Creating conversation tables [llmmllab] component=db_init
2026-04-02T16:05:55.491369Z [info     ] Successfully executed conversation.create_conversations_table [llmmllab] component=db_init
2026-04-02T16:05:55.492485Z [info     ] Successfully executed conversation.create_conversations_indexes [llmmllab] component=db_init
2026-04-02T16:05:55.494664Z [info     ] Successfully executed conversation.create_conversations_hypertable [llmmllab] component=db_init
2026-04-02T16:05:55.502850Z [info     ] Successfully executed conversation.create_cascade_delete_trigger [llmmllab] component=db_init
2026-04-02T16:05:55.520778Z [info     ] Successfully executed conversation.create_conversation_update_trigger [llmmllab] component=db_init
2026-04-02T16:05:55.521964Z [info     ] Successfully executed conversation.conversations_compression_policy [llmmllab] component=db_init
2026-04-02T16:05:55.522728Z [info     ] Successfully executed conversation.conversations_retention_policy [llmmllab] component=db_init
2026-04-02T16:05:55.524341Z [info     ] Successfully executed conversation.enable_conversations_compression [llmmllab] component=db_init
2026-04-02T16:05:55.524439Z [info     ] ✅ Step 4/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.524543Z [info     ] Step 5/16: Creating message tables [llmmllab] component=db_init
2026-04-02T16:05:55.527800Z [info     ] Successfully executed message.create_messages_table [llmmllab] component=db_init
2026-04-02T16:05:55.527912Z [info     ] ✅ Step 5/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.528034Z [info     ] Step 6/16: Creating message content tables [llmmllab] component=db_init
2026-04-02T16:05:55.544456Z [info     ] Successfully executed message_content.create_message_content_table [llmmllab] component=db_init
2026-04-02T16:05:55.546327Z [info     ] Successfully executed message_content.create_message_contents_hypertable [llmmllab] component=db_init
2026-04-02T16:05:55.547002Z [info     ] Successfully executed message_content.message_contents_compression_policy [llmmllab] component=db_init
2026-04-02T16:05:55.547675Z [info     ] Successfully executed message_content.message_contents_retention_policy [llmmllab] component=db_init
2026-04-02T16:05:55.549066Z [info     ] Successfully executed message_content.enable_message_contents_compression [llmmllab] component=db_init
2026-04-02T16:05:55.549156Z [info     ] ✅ Step 6/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.549237Z [info     ] Step 7/16: Creating document tables [llmmllab] component=db_init
2026-04-02T16:05:55.550521Z [info     ] Successfully executed document.create_documents_table [llmmllab] component=db_init
2026-04-02T16:05:55.553284Z [info     ] Successfully executed document.create_documents_hypertable [llmmllab] component=db_init
2026-04-02T16:05:55.553396Z [info     ] ✅ Step 7/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.553483Z [info     ] Step 8/16: Creating summary tables [llmmllab] component=db_init
2026-04-02T16:05:55.554094Z [info     ] Successfully executed summary.create_summaries_table [llmmllab] component=db_init
2026-04-02T16:05:55.555930Z [info     ] Successfully executed summary.create_summaries_hypertable [llmmllab] component=db_init
2026-04-02T16:05:55.557244Z [info     ] Successfully executed summary.create_summaries_indexes [llmmllab] component=db_init
2026-04-02T16:05:55.558446Z [info     ] Successfully executed summary.enable_summaries_compression [llmmllab] component=db_init
2026-04-02T16:05:55.561942Z [info     ] Successfully executed summary.create_summary_cascade_delete_triggers [llmmllab] component=db_init
2026-04-02T16:05:55.562069Z [info     ] ✅ Step 8/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.562177Z [info     ] Step 9/16: Creating search tables [llmmllab] component=db_init
2026-04-02T16:05:55.563126Z [info     ] Successfully executed search.create_search_topic_synthesis_table [llmmllab] component=db_init
2026-04-02T16:05:55.565888Z [info     ] Successfully executed search.create_search_topic_synthesis_hypertable [llmmllab] component=db_init
2026-04-02T16:05:55.567653Z [info     ] Successfully executed search.create_search_cascade_delete_triggers [llmmllab] component=db_init
2026-04-02T16:05:55.567751Z [info     ] ✅ Step 9/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.567849Z [info     ] Step 10/16: Creating memory tables [llmmllab] component=db_init
2026-04-02T16:05:55.570922Z [info     ] Successfully executed memory.init_memory_schema [llmmllab] component=db_init
2026-04-02T16:05:55.571860Z [info     ] Object in memory.create_memory_indexes already exists, continuing [llmmllab] component=db_init
2026-04-02T16:05:55.584903Z [info     ] Successfully executed memory.create_memory_cascade_delete_triggers [llmmllab] component=db_init
2026-04-02T16:05:55.586358Z [info     ] Successfully executed memory.enable_memories_compression [llmmllab] component=db_init
2026-04-02T16:05:55.587122Z [info     ] Successfully executed memory.memories_compression_policy [llmmllab] component=db_init
2026-04-02T16:05:55.587754Z [info     ] Successfully executed memory.memories_retention_policy [llmmllab] component=db_init
2026-04-02T16:05:55.587889Z [info     ] ✅ Step 10/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.587973Z [info     ] Step 11/16: Creating image tables [llmmllab] component=db_init
2026-04-02T16:05:55.588949Z [info     ] Successfully executed images.create_images_schema [llmmllab] component=db_init
2026-04-02T16:05:55.589039Z [info     ] ✅ Step 11/16 completed successfully [llmmllab] component=db_init
2026-04-02T16:05:55.589115Z [info     ] Step 12/16: Creating dynamic tools tables [llmmllab] component=db_init
